Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
THURSDAY,5:30 pm,6:15 pm,WERQ™,S,LAURA,10/3,20,10/10,19,10/17,20,10/24,28,10/31,9
FRIDAY,11:30 am,12:15 pm,ZUMBA® GOLD,S,MARIBEL,10/4,25,10/18,20,,,,,,
MONDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,SUZANNE,10/7,8,10/14,10,10/21,10,10/28,10,,
TUESDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,JAYME,10/1,10,10/8,15,10/15,15,10/22,6,10/29,12
WEDNESDAY,5:30 pm,6:00 pm,GRIT - STRENGTH™,SPC,MIKEY,10/2,8,10/9,8,10/16,8,10/23,8,10/30,10
THURSDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,ROBERT,10/3,10,10/10,8,10/17,9,10/24,11,10/31,14
MONDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,10/7,28,10/14,25,,,,,,
TUESDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,SANDY P,10/1,21,10/8,20,10/15,20,10/22,20,,
WEDNESDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,10/2,23,10/9,22,10/16,22,10/23,23,,
THURSDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,JOAN,10/3,7,10/10,5,10/17,7,10/24,15,10/31,5
FRIDAY,4:30 pm,5:30 pm,POWER YOGA,MB,EVA,10/4,15,10/11,7,10/18,14,10/25,18,,
MONDAY,6:00 pm,7:00 pm,GROUP CYCLE,C,MEREDITH,10/7,8,10/14,15,10/21,14,10/28,30,,
TUESDAY,5:50 pm,6:20 pm,BODYBALANCE™,S,DANIELLE,10/1,7,10/8,8,10/15,8,10/22,7,10/29,9
WEDNESDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,BRENDA,10/2,12,10/9,9,10/16,10,10/23,15,10/30,12
THURSDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,10/3,27,10/10,26,10/17,24,10/24,26,10/31,10
MONDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,10/7,25,10/14,14,10/21,22,,,,
TUESDAY,6:30 pm,7:30 pm,BODYPUMP™,S,TAYLOR,10/1,20,10/8,23,10/15,23,10/22,18,10/29,18
WEDNESDAY,6:00 pm,7:00 pm,RIDE STRONG,C,KIM K,10/2,13,10/9,22,10/16,20,,,,
MONDAY,6:45 pm,7:30 pm,WERQ™,MB,WENDI,10/7,25,10/14,25,,,,,,
TUESDAY,6:45 pm,7:45 pm,ZUMBA®,MB,NANETTE,10/1,20,10/8,15,10/15,15,,,,
WEDNESDAY,6:30 pm,7:15 pm,BARRE,S,HEATHER R,10/2,12,10/9,12,10/16,12,10/23,11,10/30,12
WEDNESDAY,6:45 pm,7:45 pm,TAI CHI,MB,KELLY,10/2,12,10/9,8,10/16,8,10/23,10,,
