Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
SUNDAY,10:30 am,11:30 am,ACTIVE YOGA,MB,EVA,5/5,47,5/12,29,5/19,27,5/26,36,,
MONDAY,9:15 am,10:15 am,GROUP CYCLE,C,LISA BA,5/6,37,5/13,51,5/20,42,,,,
TUESDAY,9:15 am,10:00 am,LES MILLS RPM™,C,ADRIANA,5/7,11,5/14,20,5/21,21,5/28,20,,
WEDNESDAY,9:15 am,10:00 am,STEP-INTERVAL,S,CAROL,5/1,18,5/8,15,5/15,18,5/22,18,5/29,15
THURSDAY,9:30 am,10:15 am,AQUAFIT,EP,SAM R,5/2,26,5/9,25,5/16,25,5/23,21,5/30,27
FRIDAY,9:00 am,10:00 am,GENTLE YOGA,MB,EVA,5/3,35,5/10,42,5/17,38,5/24,42,5/31,37
SATURDAY,10:15 am,11:15 am,ZUMBA®,S,NANETTE,5/4,20,5/11,21,5/18,12,5/25,15,,
SUNDAY,10:30 am,11:15 am,LES MILLS RPM™,C,ROBERT|JAYME,5/5,17,5/12,13,5/19,10,5/26,12,,
MONDAY,9:30 am,10:15 am,AQUAFIT,EP,RON,5/6,55,5/13,54,5/20,63,,,,
TUESDAY,9:30 am,10:15 am,AQUA ZUMBA®,EP,SHALOM,5/7,32,5/14,19,5/21,25,5/28,32,,
WEDNESDAY,9:15 am,10:15 am,GROUP CYCLE,C,MINDY,5/1,25,5/8,26,5/15,30,5/22,22,5/29,34
THURSDAY,9:30 am,10:15 am,PILATES,MB,LAURIE,5/2,43,5/9,27,5/16,34,5/23,30,5/30,36
FRIDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,5/3,35,5/10,35,5/17,35,5/24,32,5/31,36
SATURDAY,11:15 am,12:15 pm,TAI CHI,MB,BINH,5/4,18,5/11,16,5/18,18,5/25,18,,
SUNDAY,10:45 am,11:15 am,LES MILLS CORE™,S,JENN W,5/5,18,5/12,9,5/19,8,5/26,15,,
MONDAY,10:15 am,11:00 am,UPBEAT BARRE™,S,GIL,5/6,22,5/13,24,5/20,20,,,,
TUESDAY,9:30 am,10:15 am,PILATES,MB,LAURIE,5/7,30,5/14,34,5/21,37,5/28,38,,
WEDNESDAY,9:30 am,10:15 am,AQUAFIT,EP,RON,5/1,54,5/8,53,5/15,54,5/22,54,5/29,55
THURSDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,5/2,15,5/9,24,5/16,30,5/23,25,5/30,20
FRIDAY,9:15 am,10:00 am,LES MILLS RPM™,C,KIM K,5/3,17,5/10,30,5/17,15,5/24,20,5/31,21
SUNDAY,11:30 am,12:30 pm,ZUMBA®,S,MARI|SHELLEY,5/5,26,5/12,22,5/19,18,5/26,19,,
MONDAY,10:15 am,11:15 am,BODYBALANCE™,MB,DANIELLE,5/6,21,5/13,23,5/20,21,,,,
TUESDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,5/7,21,5/14,41,5/21,26,5/28,27,,
WEDNESDAY,10:15 am,11:15 am,PILATES,MB,CLAIRE,5/1,6,5/8,14,5/15,18,5/22,12,5/29,18
