Day,Start Time,End Time,Class Name,Location,Instructor 1,Instructor 2,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
TUESDAY,11:30 am,12:15 pm,SILVERSNEAKERS YOGA,FG,JESS,,6/3,65,6/10,65,6/17,65,6/24,65,,
TUESDAY,4:15 pm,5:15 pm,ACTIVE YOGA,MB,MEGAN,,6/3,14,6/10,15,6/17,16,6/24,15,,
TUESDAY,5:00 pm,5:45 pm,BODYCOMBAT™,S,KELLY,,6/3,15,6/10,15,6/17,15,6/24,15,,
TUESDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,JAYME,,6/3,12,6/10,12,6/17,9,6/24,11,,
TUESDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,SANDY P,,6/3,20,6/10,13,6/17,15,6/24,15,,
TUESDAY,5:50 pm,6:20 pm,BODYBALANCE™,S,DANIELLE,,6/3,7,6/10,10,6/17,10,6/24,10,,
TUESDAY,6:30 pm,7:30 pm,BODYPUMP™,S,PIERCE,,6/3,13,6/10,14,6/17,12,6/24,12,,
TUESDAY,6:45 pm,7:45 pm,ZUMBA®,MB,NANETTE,,6/3,15,6/10,15,6/17,15,6/24,15,,
WEDNESDAY,5:30 am,6:00 am,GRIT - ATHLETIC™,SPC,MIKEY,,6/4,14,6/11,13,6/18,15,6/25,13,,
WEDNESDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,,6/4,15,6/11,10,6/18,9,6/25,13,,
WEDNESDAY,6:15 am,7:00 am,UPBEAT LIFT™,S,GIL G,,6/4,18,6/11,20,6/18,15,6/25,20,,
WEDNESDAY,8:00 am,8:45 am,HIGH FITNESS®,MB,GIL G,,6/4,20,6/11,15,6/18,26,6/25,15,,
WEDNESDAY,8:15 am,9:00 am,TRX BODY BLAST®,S,CAROL,,6/4,22,6/11,20,6/18,25,6/25,25,,
WEDNESDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,JOAN,,6/4,25,6/11,31,6/18,22,6/25,25,,
WEDNESDAY,9:15 am,10:00 am,STEP-INTERVAL,S,CAROL,,6/4,25,6/11,25,6/18,24,6/25,25,,
WEDNESDAY,9:15 am,10:15 am,GROUP CYCLE,C,MINDY,,6/4,29,6/11,28,6/18,29,6/25,25,,
WEDNESDAY,9:30 am,10:15 am,AQUA FIT,EP,RON,,6/4,60,6/11,57,6/18,58,6/25,54,,
WEDNESDAY,10:15 am,11:00 am,AQUA IN MOTION,EP,SAM,,6/4,20,6/11,20,6/18,12,6/25,15,,
WEDNESDAY,10:15 am,11:15 am,PILATES,MB,BARB D,,6/4,18,6/11,31,6/18,15,6/25,25,,
WEDNESDAY,10:15 am,11:15 am,BODYPUMP™,S,ROBERT,,6/4,30,6/11,33,6/18,28,6/25,30,,
WEDNESDAY,10:30 am,11:15 am,SILVERSNEAKERS YOGA,FG,TESS,JESS,6/4,75,6/11,75,6/18,75,6/25,75,,
WEDNESDAY,11:30 am,12:15 pm,BODYBALANCE™,S,JESS G,,6/4,9,6/11,10,6/18,10,6/25,7,,
WEDNESDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,ROBERT,,6/4,70,6/11,70,6/18,70,6/25,70,,
WEDNESDAY,4:15 pm,5:15 pm,UPBEAT PILATES™,MB,KRISTA,,6/4,12,6/11,15,6/18,8,6/25,7,,
WEDNESDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,KATHY F,,6/4,2,6/11,6,6/18,5,6/25,5,,
WEDNESDAY,5:30 pm,6:00 pm,GRIT - STRENGTH™,SPC,MIKEY,,6/4,3,6/11,2,6/18,6,6/25,5,,
WEDNESDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,,6/4,24,6/11,28,6/18,23,6/25,28,,
WEDNESDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,BRENDA,,6/4,13,6/11,7,6/18,6,6/25,10,,
WEDNESDAY,6:00 pm,7:00 pm,RIDE STRONG,C,KIM K,,6/4,11,6/11,12,6/18,11,6/25,9,,
WEDNESDAY,6:30 pm,7:15 pm,BARRE,S,HEATHER R,,6/4,6,6/11,13,6/18,12,6/25,10,,
WEDNESDAY,6:45 pm,7:45 pm,TAI CHI,MB,KELLY,,6/4,13,6/11,10,6/18,10,6/25,9,,
THURSDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,,6/5,17,6/12,21,6/19,13,6/26,15,,
THURSDAY,5:30 am,6:00 am,GRIT-CARDIO™,SPC,MIKEY,,6/5,9,6/12,9,6/19,7,6/26,13,,
THURSDAY,8:30 am,9:00 am,UPBEAT BARRE™,MB,TIA,,6/5,30,6/12,33,6/19,30,6/26,30,,
THURSDAY,8:35 am,9:20 am,AQUA FIT,EP,CHAR,,6/5,31,6/12,29,6/19,34,6/26,30,,
THURSDAY,9:00 am,9:45 am,CARDIO DANCE,S,LISA B,,6/5,15,6/12,15,6/19,15,6/26,15,,
THURSDAY,9:30 am,10:15 am,AQUA FIT,EP,SAM R,,6/5,25,6/12,27,6/19,22,6/26,22,,
THURSDAY,9:30 am,10:15 am,PILATES,MB,LAURIE,,6/5,38,6/12,39,6/19,50,6/26,44,,
THURSDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,,6/5,27,6/12,25,6/19,40,6/26,30,,
THURSDAY,10:15 am,11:00 am,SILVER CYCLE,C,SUNNY,,6/5,29,6/12,26,6/19,32,6/26,26,,
THURSDAY,10:30 am,11:15 am,FEELING FIT,FG,SAM R,,6/5,65,6/12,65,6/19,60,6/26,65,,
THURSDAY,11:00 am,12:00 pm,GENTLE YOGA,MB,JOAN,,6/5,40,6/12,32,6/19,45,6/26,44,,
THURSDAY,11:30 am,12:15 pm,SILVERSNEAKERS YOGA,FG,JESS G,,6/5,60,6/12,60,6/19,60,6/26,60,,
THURSDAY,4:15 pm,5:15 pm,BODYBALANCE™,MB,BRENDA,,6/5,11,6/12,19,6/19,12,6/26,10,,
THURSDAY,5:30 pm,6:15 pm,WERQ™,S,LAURA,,6/5,38,6/12,32,6/19,32,6/26,35,,
THURSDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,ROBERT,,6/5,15,6/12,14,6/19,6,6/26,6,,
THURSDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,LAUREN,,6/5,11,6/12,14,6/19,15,6/26,15,,
THURSDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,,6/5,24,6/12,19,6/19,21,6/26,20,,
FRIDAY,5:30 am,6:00 am,GRIT - CARDIO™,SPC,DANIELLE B,,6/6,13,6/13,15,6/20,13,6/27,12,,
FRIDAY,5:45 am,6:45 am,ACTIVE YOGA,MB,JOAN,,6/6,12,6/13,8,6/20,8,6/27,10,,
FRIDAY,6:00 am,7:00 am,GROUP CYCLE,C,JACKIE P,,6/6,8,6/13,6,6/20,8,6/27,7,,
FRIDAY,8:15 am,8:45 am,LES MILLS CORE™,MB,KIM K,,6/6,7,6/13,34,6/20,4,6/27,6,,
FRIDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,,6/6,34,6/13,44,6/20,44,6/27,44,,
FRIDAY,9:00 am,10:00 am,GENTLE YOGA,MB,EVA,,6/6,37,6/13,45,6/20,36,6/27,45,,
FRIDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,,6/6,46,6/13,54,6/20,56,6/27,55,,
FRIDAY,9:15 am,10:00 am,LES MILLS RPM™,C,KIM K,,6/6,28,6/13,27,6/20,30,6/27,22,,
FRIDAY,9:30 am,10:15 am,AQUA CIRCUIT,EP,RON,,6/6,42,6/13,41,6/20,44,6/27,44,,
FRIDAY,10:15 am,11:15 am,BODYPUMP™,S,DANIELLE,,6/6,27,6/13,32,6/20,30,6/27,30,,
FRIDAY,10:15 am,11:15 am,ACTIVE YOGA,MB,EVA,,6/6,20,6/13,21,6/20,19,6/27,24,,
FRIDAY,10:30 am,11:15 am,SILVERSNEAKERS® CLASSIC,FG,SAM R,,6/6,65,6/13,65,6/20,65,6/27,65,,
FRIDAY,11:30 am,12:15 am,SILVERSNEAKERS YOGA,FG,DEB F,,6/6,65,6/13,65,6/20,65,6/27,65,,
FRIDAY,11:30 am,12:15 pm,ZUMBA GOLD,S,JOEL S,,6/6,28,6/13,27,6/20,25,6/27,25,,
FRIDAY,4:15 pm,5:15 pm,UPBEAT BARRE™,S,OLGA,,6/6,12,6/13,15,6/20,15,6/27,12,,
FRIDAY,4:30 pm,5:30 pm,POWER YOGA,MB,EVA,,6/6,10,6/13,15,6/20,18,6/27,15,,
